model,state,backend,resolution,condition,protocol,size,category_id,class_name,map50,map50_95,ar50,ar50_95,area_reference,category_name,checkpoint_sha256,evaluated_categories,gt_count,image_count,max_det
leaf_yolo_n_external,external_finetuned,leaf,1280,CLEAN,common6,medium,2,,0.9539613442999211,0.7289687118905339,0.9881385418314091,0.7878854973904792,original_image_pixels,car,1b1e088578f45ae981d8f3f03900b964b97711ac67ff8088565647cd7fac89e5,1,6323,548,3000
leaf_yolo_n_external,external_finetuned,leaf,1280,CLEAN,common6,medium,3,,0.7272536717895316,0.5148565108962672,0.8932038834951457,0.6796116504854368,original_image_pixels,bus,1b1e088578f45ae981d8f3f03900b964b97711ac67ff8088565647cd7fac89e5,1,103,548,3000
leaf_yolo_n_external,external_finetuned,leaf,1280,CLEAN,common6,medium,4,,0.4627876727439071,0.30812281459330854,0.8284182305630027,0.5520107238605897,original_image_pixels,truck,1b1e088578f45ae981d8f3f03900b964b97711ac67ff8088565647cd7fac89e5,1,373,548,3000
leaf_yolo_n_external,external_finetuned,leaf,1280,CLEAN,common6,medium,5,,0.5961635769348771,0.29936926124321783,0.9087193460490464,0.5032697547683924,original_image_pixels,motorcycle,1b1e088578f45ae981d8f3f03900b964b97711ac67ff8088565647cd7fac89e5,1,734,548,3000
leaf_yolo_n_external,external_finetuned,leaf,1280,CLEAN,common6,medium,6,,0.2331631794666354,0.11295869777897018,0.8125,0.4364583333333334,original_image_pixels,bicycle,1b1e088578f45ae981d8f3f03900b964b97711ac67ff8088565647cd7fac89e5,1,192,548,3000
leaf_yolo_n_external,external_finetuned,leaf,1280,CLEAN,common6,large,1,,0.5931853930073859,0.2695007129649284,0.782608695652174,0.3913043478260869,original_image_pixels,person,1b1e088578f45ae981d8f3f03900b964b97711ac67ff8088565647cd7fac89e5,1,23,548,3000
leaf_yolo_n_external,external_finetuned,leaf,1280,CLEAN,common6,large,2,,0.9662139799063316,0.8024672576999343,0.987146529562982,0.8491002570694086,original_image_pixels,car,1b1e088578f45ae981d8f3f03900b964b97711ac67ff8088565647cd7fac89e5,1,778,548,3000
leaf_yolo_n_external,external_finetuned,leaf,1280,CLEAN,common6,large,3,,0.7933008873589994,0.5957472939069393,1.0,0.784375,original_image_pixels,bus,1b1e088578f45ae981d8f3f03900b964b97711ac67ff8088565647cd7fac89e5,1,32,548,3000
leaf_yolo_n_external,external_finetuned,leaf,1280,CLEAN,common6,large,4,,0.5899798396820406,0.38668084048435636,0.8953488372093024,0.608139534883721,original_image_pixels,truck,1b1e088578f45ae981d8f3f03900b964b97711ac67ff8088565647cd7fac89e5,1,86,548,3000
leaf_yolo_n_external,external_finetuned,leaf,1280,CLEAN,common6,large,5,,0.0,0.0,0.0,0.0,original_image_pixels,motorcycle,1b1e088578f45ae981d8f3f03900b964b97711ac67ff8088565647cd7fac89e5,1,7,548,3000
leaf_yolo_n_external,external_finetuned,leaf,1280,CLEAN,common6,large,6,,0.0,0.0,0.0,0.0,original_image_pixels,bicycle,1b1e088578f45ae981d8f3f03900b964b97711ac67ff8088565647cd7fac89e5,1,3,548,3000
leaf_yolo_n_external,external_finetuned,leaf,1280,CLEAN,common6,coco_small,1,,0.6267491115424159,0.2676014357767038,0.924076057846813,0.46002945902517406,original_image_pixels,person,1b1e088578f45ae981d8f3f03900b964b97711ac67ff8088565647cd7fac89e5,1,7468,548,3000
