Model,Condition,Class_ID,Class_Name,mAP50,mAP50-95,Total_GTs
yolov8s,S3T1,5,bicycle,0.0011,0.0007,5418
yolov8s,S3T2,0,person,0.1105,0.0685,13969
yolov8s,S3T2,1,car,0.3198,0.1983,15351
yolov8s,S3T2,2,bus,0.0002,0.0001,1975
yolov8s,S3T2,3,truck,0.0555,0.0344,750
yolov8s,S3T2,4,motorcycle,0.0027,0.0017,1296
yolov8s,S3T2,5,bicycle,0.0006,0.0003,5418
yolov8s,S3T3,0,person,0.0284,0.0176,13969
yolov8s,S3T3,1,car,0.1642,0.1018,15351
yolov8s,S3T3,2,bus,0.0002,0.0002,1975
yolov8s,S3T3,3,truck,0.012,0.0074,750
yolov8s,S3T3,4,motorcycle,0.0011,0.0007,1296
yolov8s,S3T3,5,bicycle,0.0,0.0,5418
yolov8m,S1T1,0,person,0.2204,0.1367,13969
yolov8m,S1T1,1,car,0.417,0.2585,15351
yolov8m,S1T1,2,bus,0.0013,0.0008,1975
yolov8m,S1T1,3,truck,0.1325,0.0822,750
yolov8m,S1T1,4,motorcycle,0.0043,0.0027,1296
yolov8m,S1T1,5,bicycle,0.004,0.0025,5418
yolov8m,S1T2,0,person,0.1705,0.1057,13969
yolov8m,S1T2,1,car,0.3819,0.2368,15351
yolov8m,S1T2,2,bus,0.0009,0.0005,1975
yolov8m,S1T2,3,truck,0.1045,0.0648,750
yolov8m,S1T2,4,motorcycle,0.0031,0.0019,1296
yolov8m,S1T2,5,bicycle,0.0032,0.002,5418
yolov8m,S1T3,0,person,0.0475,0.0295,13969
yolov8m,S1T3,1,car,0.2551,0.1581,15351
yolov8m,S1T3,2,bus,0.0,0.0,1975
yolov8m,S1T3,3,truck,0.0235,0.0145,750
yolov8m,S1T3,4,motorcycle,0.0003,0.0002,1296
yolov8m,S1T3,5,bicycle,0.0005,0.0003,5418
yolov8m,S2T1,0,person,0.1901,0.1178,13969
yolov8m,S2T1,1,car,0.3841,0.2381,15351
yolov8m,S2T1,2,bus,0.002,0.0012,1975
yolov8m,S2T1,3,truck,0.0973,0.0603,750
yolov8m,S2T1,4,motorcycle,0.0021,0.0013,1296
yolov8m,S2T1,5,bicycle,0.0037,0.0023,5418
yolov8m,S2T2,0,person,0.1443,0.0895,13969
yolov8m,S2T2,1,car,0.3481,0.2158,15351
yolov8m,S2T2,2,bus,0.0011,0.0007,1975
yolov8m,S2T2,3,truck,0.0673,0.0417,750
yolov8m,S2T2,4,motorcycle,0.0009,0.0006,1296
yolov8m,S2T2,5,bicycle,0.0023,0.0014,5418
yolov8m,S2T3,0,person,0.0323,0.02,13969
yolov8m,S2T3,1,car,0.1972,0.1223,15351
yolov8m,S2T3,2,bus,0.0001,0.0,1975
yolov8m,S2T3,3,truck,0.0146,0.0091,750
yolov8m,S2T3,4,motorcycle,0.0,0.0,1296
yolov8m,S2T3,5,bicycle,0.0002,0.0001,5418
yolov8m,S3T1,0,person,0.1856,0.1151,13969
yolov8m,S3T1,1,car,0.3885,0.2409,15351
yolov8m,S3T1,2,bus,0.0012,0.0007,1975
yolov8m,S3T1,3,truck,0.1103,0.0684,750
yolov8m,S3T1,4,motorcycle,0.0047,0.0029,1296
yolov8m,S3T1,5,bicycle,0.0014,0.0008,5418
yolov8m,S3T2,0,person,0.1404,0.087,13969
yolov8m,S3T2,1,car,0.3521,0.2183,15351
yolov8m,S3T2,2,bus,0.0005,0.0003,1975
yolov8m,S3T2,3,truck,0.087,0.0539,750
yolov8m,S3T2,4,motorcycle,0.0033,0.002,1296
yolov8m,S3T2,5,bicycle,0.0012,0.0007,5418
yolov8m,S3T3,0,person,0.0382,0.0237,13969
yolov8m,S3T3,1,car,0.2233,0.1384,15351
yolov8m,S3T3,2,bus,0.0002,0.0001,1975
yolov8m,S3T3,3,truck,0.0169,0.0105,750
yolov8m,S3T3,4,motorcycle,0.0002,0.0001,1296
yolov8m,S3T3,5,bicycle,0.0001,0.0001,5418
yolov8l,S1T1,0,person,0.2218,0.1375,13969
yolov8l,S1T1,1,car,0.4153,0.2575,15351
yolov8l,S1T1,2,bus,0.0007,0.0004,1975
yolov8l,S1T1,3,truck,0.1394,0.0864,750
yolov8l,S1T1,4,motorcycle,0.0058,0.0036,1296
yolov8l,S1T1,5,bicycle,0.0051,0.0032,5418
yolov8l,S1T2,0,person,0.1723,0.1068,13969
yolov8l,S1T2,1,car,0.3747,0.2323,15351
yolov8l,S1T2,2,bus,0.0009,0.0006,1975
yolov8l,S1T2,3,truck,0.1195,0.0741,750
yolov8l,S1T2,4,motorcycle,0.0038,0.0024,1296
yolov8l,S1T2,5,bicycle,0.0045,0.0028,5418
yolov8l,S1T3,0,person,0.0488,0.0302,13969
yolov8l,S1T3,1,car,0.2438,0.1511,15351
